CODIGO_DO_FUNDO;SETOR;PRECO_ATUAL;LIQUIDEZ_DIARIA;DIVIDENDO;DIVIDEND_YIELD;DY_(3M)_ACUMULADO;DY_(6M)_ACUMULADO;DY_(12M)_ACUMULADO;DY_(3M)_MEDIA;DY_(6M)_MEDIA;DY_(12M)_MEDIA;DY_ANO;VARIACAO_PRECO;RENTAB._PERIODO;RENTAB._ACUMULADA;PATRIMONIO_LIQ.;VPA;P/VPA;DY_PATRIMONIAL;VARIACAO_PATRIMONIAL;RENTAB._PATR._NO_PERIODO;RENTAB._PATR._ACUMULADA;VACANCIA_FISICA;VACANCIA_FINANCEIRA;QUANTIDADE_ATIVOS
ERCR11;Híbrido;88.83;6123;139.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;164681982.75;69310.60;0.00;;;;;;;0
ERCR11;Híbrido;88.66;2350;139.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;164681982.75;69310.60;0.00;;;;;;;0
ERCR11;Híbrido;88.30;9724;139.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;164681982.75;69310.60;0.00;;;;;;;0
ERCR11;Híbrido;88.24;3488;139.45;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;164681982.75;69310.60;0.00;;;;;;;0
VVPR11;Híbrido;101.50;2211;0.89;0.88;2.47;4.88;9.73;0.82;0.81;0.81;6.57;2.01;2.91;15.95;22632234.18;98.03;1.04;;;;;0.00;;6
BRCO11;Logística;100.22;32334;0.70;0.64;1.92;4.01;7.86;0.64;0.67;0.66;6.56;0.00;0.64;20.18;1760902381.70;119.15;0.84;0.59;0.07;0.65;5.56;0.00;0.00;10
BNFS11;Outros;121.21;393;1.51;1.21;3.65;7.30;13.67;1.22;1.22;1.14;11.54;0.00;1.21;10.48;69475822.86;99.25;1.22;1.53;0.00;1.53;12.03;0.00;;18
VINO11;Lajes Corporativas;47.89;21221;0.34;0.68;2.03;4.27;8.90;0.68;0.71;0.74;7.03;0.00;0.68;3.82;896802385.02;54.14;0.88;0.63;0.47;1.10;3.98;4.20;;9
PQDP11;Shoppings;2130.01;45;18.55;0.82;2.34;4.49;8.69;0.78;0.75;0.72;6.06;0.00;0.82;17.22;813169973.83;3312.13;0.64;0.56;-0.03;0.53;1.13;3.60;;1
BBFI11B;Lajes Corporativas;1910.98;141;26.88;1.41;4.13;8.47;16.31;1.38;1.41;1.36;13.34;0.00;1.41;-5.07;375984464.64;2892.19;0.66;0.92;0.23;1.15;5.45;39.11;;2
